Ecosystem	Package	Version	Scope	License	License files	Source
cargo	aho-corasick	1.1.5	cargo-lock	Unlicense OR MIT		https://github.com/BurntSushi/aho-corasick
cargo	anyhow	1.0.104	cargo-lock	MIT OR Apache-2.0		https://github.com/dtolnay/anyhow
cargo	async-stream	0.3.6	cargo-lock	MIT		https://github.com/tokio-rs/async-stream
cargo	async-stream-impl	0.3.6	cargo-lock	MIT		https://github.com/tokio-rs/async-stream
cargo	async-trait	0.1.92	cargo-lock	MIT OR Apache-2.0		https://github.com/dtolnay/async-trait
cargo	atomic-waker	1.1.2	cargo-lock	Apache-2.0 OR MIT		https://github.com/smol-rs/atomic-waker
cargo	autocfg	1.5.1	cargo-lock	Apache-2.0 OR MIT		https://github.com/cuviper/autocfg
cargo	axum	0.7.9	cargo-lock	MIT		https://github.com/tokio-rs/axum
cargo	axum-core	0.4.5	cargo-lock	MIT		https://github.com/tokio-rs/axum
cargo	base64	0.22.1	cargo-lock	MIT OR Apache-2.0		https://github.com/marshallpierce/rust-base64
cargo	bitflags	2.13.1	cargo-lock	MIT OR Apache-2.0		https://github.com/bitflags/bitflags
cargo	bumpalo	3.20.3	cargo-lock	MIT OR Apache-2.0		https://github.com/fitzgen/bumpalo
cargo	bytes	1.12.1	cargo-lock	MIT		https://github.com/tokio-rs/bytes
cargo	cc	1.4.2	cargo-lock	MIT OR Apache-2.0		https://github.com/rust-lang/cc-rs
cargo	cfg-if	1.0.4	cargo-lock	MIT OR Apache-2.0		https://github.com/rust-lang/cfg-if
cargo	core-foundation	0.10.1	cargo-lock	MIT OR Apache-2.0		https://github.com/servo/core-foundation-rs
cargo	core-foundation-sys	0.8.7	cargo-lock	MIT OR Apache-2.0		https://github.com/servo/core-foundation-rs
cargo	deranged	0.5.8	cargo-lock	MIT OR Apache-2.0		https://github.com/jhpratt/deranged
cargo	either	1.17.0	cargo-lock	MIT OR Apache-2.0		https://github.com/rayon-rs/either
cargo	equivalent	1.0.2	cargo-lock	Apache-2.0 OR MIT		https://github.com/indexmap-rs/equivalent
cargo	errno	0.3.14	cargo-lock	MIT OR Apache-2.0		https://github.com/lambda-fairy/rust-errno
cargo	fastrand	2.5.0	cargo-lock	Apache-2.0 OR MIT		https://github.com/smol-rs/fastrand
